,Day,Temperature(ºF),Condition,Precipitation,Wind
0,Today,96°/70°,Mostly Sunny,0%,WSW 5 mph
1,Sat 12,97°/70°,Mostly Sunny,5%,WSW 5 mph
2,Sun 13,97°/70°,Mostly Sunny,5%,W 4 mph
3,Mon 14,98°/70°,Sunny,5%,WSW 3 mph
4,Tue 15,98°/70°,Sunny,5%,SSE 5 mph
5,Wed 16,98°/69°,Sunny,0%,E 6 mph
6,Thu 17,97°/68°,Sunny,0%,SE 6 mph
7,Fri 18,97°/69°,Mostly Sunny,0%,S 4 mph
8,Sat 19,97°/69°,Mostly Sunny,0%,SSE 5 mph
9,Sun 20,97°/68°,Mostly Sunny,0%,ESE 5 mph
10,Mon 21,97°/68°,Mostly Sunny,0%,ENE 6 mph
11,Tue 22,97°/67°,Sunny,0%,ENE 6 mph
12,Wed 23,97°/66°,Sunny,0%,E 6 mph
13,Thu 24,97°/67°,Sunny,0%,ENE 5 mph
14,Fri 25,98°/67°,Sunny,0%,ENE 6 mph
